student_id,course_id,subject,feedback_text,rating,date,true_category,true_sentiment,processed_text,dominant_topic,cluster
S92761,BIO736,Biology,The instructor's Course Content approach in Biology was outstanding.,4,2025-03-17,Course Content,Positive,instructor course content approach biology outstanding,Topic_5,2
S42844,PSY920,Psychology,I really enjoyed the Psychology course. The Course Content was excellent.,4,2025-03-10,Course Content,Positive,really enjoyed psychology course course content excellent,Topic_2,0
S73534,ECO134,Economics,I found the Teaching Quality in Economics to be very well organized and useful.,4,2024-05-04,Teaching Quality,Positive,found teaching quality economics well organized useful,Topic_3,3
S44325,BIO623,Biology,The Facilities in the Biology class exceeded my expectations.,5,2024-11-05,Facilities,Positive,facility biology class exceeded expectation,Topic_1,1
S17817,BIO207,Biology,I really enjoyed the Biology course. The Facilities was excellent.,4,2024-06-27,Facilities,Positive,really enjoyed biology course facility excellent,Topic_2,0
S55380,ECO368,Economics,I really enjoyed the Economics course. The Support Services was excellent.,5,2024-06-07,Support Services,Positive,really enjoyed economics course support service excellent,Topic_2,0
S13247,PHY130,Physics,The Course Content in the Physics class exceeded my expectations.,5,2024-09-21,Course Content,Positive,course content physic class exceeded expectation,Topic_1,1
S86500,ECO496,Economics,The Learning Resources in Economics needs significant improvement.,2,2025-01-27,Learning Resources,Negative,learning resource economics need significant improvement,Topic_3,2
S70268,COM459,Computer Science,I struggled with Computer Science due to inadequate Facilities.,1,2024-10-04,Facilities,Negative,struggled computer science due inadequate facility,Topic_3,2
S48174,ECO600,Economics,The Learning Resources in the Economics class exceeded my expectations.,5,2024-06-20,Learning Resources,Positive,learning resource economics class exceeded expectation,Topic_1,1
S71976,BIO363,Biology,The instructor's Assessment Methods approach in Biology was outstanding.,4,2024-08-08,Assessment Methods,Positive,instructor assessment method approach biology outstanding,Topic_5,2
S59373,MAT802,Mathematics,Neither good nor bad Course Content in the Mathematics course.,4,2024-10-10,Course Content,Neutral,neither good bad course content mathematics course,Topic_1,2
S65868,MAT478,Mathematics,"The Mathematics course had reasonable Facilities, but could be improved.",4,2024-05-24,Facilities,Neutral,mathematics course reasonable facility could improved,Topic_2,3
S10033,PSY193,Psychology,The Course Content in the Psychology class exceeded my expectations.,5,2024-08-04,Course Content,Positive,course content psychology class exceeded expectation,Topic_1,1
S37875,LIT483,Literature,I really enjoyed the Literature course. The Facilities was excellent.,4,2024-05-14,Facilities,Positive,really enjoyed literature course facility excellent,Topic_2,0
S71170,ECO143,Economics,I found the Teaching Quality in Economics to be very well organized and useful.,5,2024-08-24,Teaching Quality,Positive,found teaching quality economics well organized useful,Topic_3,3
S35413,ECO910,Economics,"Great Assessment Methods in the Economics course, very helpful for my learning.",4,2024-11-12,Assessment Methods,Positive,great assessment method economics course helpful learning,Topic_2,4
S36650,PHY834,Physics,The Learning Resources in Physics met the basic requirements.,3,2024-06-14,Learning Resources,Neutral,learning resource physic met basic requirement,Topic_4,2
S38189,MAT310,Mathematics,"I think the Teaching Quality in Mathematics was average, nothing special.",3,2024-11-08,Teaching Quality,Neutral,think teaching quality mathematics average nothing special,Topic_5,2
S57172,COM944,Computer Science,"Great Facilities in the Computer Science course, very helpful for my learning.",5,2024-10-04,Facilities,Positive,great facility computer science course helpful learning,Topic_2,4
S27700,LIT457,Literature,The Learning Resources in Literature needs significant improvement.,2,2024-10-25,Learning Resources,Negative,learning resource literature need significant improvement,Topic_3,2
S34489,PHY803,Physics,The Support Services in Physics needs significant improvement.,1,2024-05-25,Support Services,Negative,support service physic need significant improvement,Topic_3,2
S56999,MAT211,Mathematics,The instructor's Assessment Methods approach in Mathematics was outstanding.,4,2024-06-01,Assessment Methods,Positive,instructor assessment method approach mathematics outstanding,Topic_5,2
S47228,MAT378,Mathematics,The Assessment Methods in Mathematics met the basic requirements.,4,2024-11-18,Assessment Methods,Neutral,assessment method mathematics met basic requirement,Topic_4,2
S55736,BIO201,Biology,Neither good nor bad Support Services in the Biology course.,3,2024-08-13,Support Services,Neutral,neither good bad support service biology course,Topic_1,2
S26755,CHE274,Chemistry,I found the Learning Resources in Chemistry to be very well organized and useful.,4,2024-06-30,Learning Resources,Positive,found learning resource chemistry well organized useful,Topic_3,3
S25353,MAT278,Mathematics,The Course Content in the Mathematics class exceeded my expectations.,4,2024-05-08,Course Content,Positive,course content mathematics class exceeded expectation,Topic_1,1
S38255,PSY985,Psychology,The Support Services in Psychology needs significant improvement.,1,2024-12-16,Support Services,Negative,support service psychology need significant improvement,Topic_3,2
S14504,PSY311,Psychology,The instructor's Learning Resources approach in Psychology was outstanding.,5,2024-12-15,Learning Resources,Positive,instructor learning resource approach psychology outstanding,Topic_5,2
S69838,BIO323,Biology,I really enjoyed the Biology course. The Course Content was excellent.,5,2024-04-18,Course Content,Positive,really enjoyed biology course course content excellent,Topic_2,0
S25587,HIS461,History,The Course Content in the History class exceeded my expectations.,4,2024-07-11,Course Content,Positive,course content history class exceeded expectation,Topic_1,1
S51593,BIO115,Biology,"Great Support Services in the Biology course, very helpful for my learning.",5,2025-01-25,Support Services,Positive,great support service biology course helpful learning,Topic_2,4
S84754,HIS438,History,The instructor's Teaching Quality approach in History was outstanding.,5,2024-11-30,Teaching Quality,Positive,instructor teaching quality approach history outstanding,Topic_5,2
S57326,PSY589,Psychology,The Learning Resources in the Psychology course was adequate.,3,2025-01-11,Learning Resources,Neutral,learning resource psychology course adequate,Topic_4,2
S86060,HIS798,History,"Great Support Services in the History course, very helpful for my learning.",4,2025-01-25,Support Services,Positive,great support service history course helpful learning,Topic_2,4
S77168,HIS224,History,Neither good nor bad Assessment Methods in the History course.,3,2024-11-20,Assessment Methods,Neutral,neither good bad assessment method history course,Topic_1,2
S56285,PSY651,Psychology,The Facilities in the Psychology class exceeded my expectations.,4,2024-07-14,Facilities,Positive,facility psychology class exceeded expectation,Topic_1,1
S16842,PHY362,Physics,"I think the Facilities in Physics was average, nothing special.",3,2024-09-17,Facilities,Neutral,think facility physic average nothing special,Topic_5,2
S92787,BIO604,Biology,"The Biology course had reasonable Support Services, but could be improved.",3,2024-11-10,Support Services,Neutral,biology course reasonable support service could improved,Topic_2,3
S29088,COM888,Computer Science,"The Computer Science course had reasonable Facilities, but could be improved.",3,2024-12-15,Facilities,Neutral,computer science course reasonable facility could improved,Topic_2,3
S39902,PHY328,Physics,The instructor's Course Content approach in Physics was outstanding.,4,2025-04-06,Course Content,Positive,instructor course content approach physic outstanding,Topic_5,2
S30938,MAT771,Mathematics,The instructor's Facilities approach in Mathematics was outstanding.,4,2025-03-10,Facilities,Positive,instructor facility approach mathematics outstanding,Topic_5,2
S37886,ECO151,Economics,The Teaching Quality in the Economics class exceeded my expectations.,5,2024-10-31,Teaching Quality,Positive,teaching quality economics class exceeded expectation,Topic_1,1
S95587,COM751,Computer Science,I really enjoyed the Computer Science course. The Assessment Methods was excellent.,5,2024-07-19,Assessment Methods,Positive,really enjoyed computer science course assessment method excellent,Topic_2,0
S76718,PSY876,Psychology,"Great Course Content in the Psychology course, very helpful for my learning.",4,2024-11-30,Course Content,Positive,great course content psychology course helpful learning,Topic_2,4
S93273,COM867,Computer Science,The instructor's Support Services approach in Computer Science was outstanding.,4,2024-12-26,Support Services,Positive,instructor support service approach computer science outstanding,Topic_5,2
S78629,PHY957,Physics,I really enjoyed the Physics course. The Teaching Quality was excellent.,4,2024-10-24,Teaching Quality,Positive,really enjoyed physic course teaching quality excellent,Topic_2,0
S90556,COM754,Computer Science,"Great Learning Resources in the Computer Science course, very helpful for my learning.",4,2024-10-23,Learning Resources,Positive,great learning resource computer science course helpful learning,Topic_2,4
S58760,BIO110,Biology,The instructor's Facilities approach in Biology was outstanding.,4,2024-08-10,Facilities,Positive,instructor facility approach biology outstanding,Topic_5,2
S36172,MAT574,Mathematics,I found the Course Content in Mathematics to be very well organized and useful.,5,2024-12-17,Course Content,Positive,found course content mathematics well organized useful,Topic_3,3
S30034,MAT951,Mathematics,I really enjoyed the Mathematics course. The Course Content was excellent.,5,2025-03-28,Course Content,Positive,really enjoyed mathematics course course content excellent,Topic_2,0
S99820,ECO877,Economics,The Learning Resources in the Economics course was adequate.,4,2025-01-27,Learning Resources,Neutral,learning resource economics course adequate,Topic_4,2
S70814,BIO812,Biology,The Support Services in Biology needs significant improvement.,2,2025-04-05,Support Services,Negative,support service biology need significant improvement,Topic_3,2
S62204,MAT196,Mathematics,"Great Assessment Methods in the Mathematics course, very helpful for my learning.",5,2024-11-03,Assessment Methods,Positive,great assessment method mathematics course helpful learning,Topic_2,4
S74919,HIS898,History,I found the Facilities in History to be very well organized and useful.,4,2024-10-03,Facilities,Positive,found facility history well organized useful,Topic_3,3
S88500,CHE695,Chemistry,"I think the Support Services in Chemistry was average, nothing special.",4,2024-05-03,Support Services,Neutral,think support service chemistry average nothing special,Topic_5,2
S91899,LIT753,Literature,I really enjoyed the Literature course. The Learning Resources was excellent.,5,2025-01-08,Learning Resources,Positive,really enjoyed literature course learning resource excellent,Topic_2,0
S46306,LIT119,Literature,I found the Facilities in Literature to be very well organized and useful.,5,2025-03-15,Facilities,Positive,found facility literature well organized useful,Topic_3,3
S89899,HIS550,History,The Assessment Methods in the History class was below standard.,1,2025-02-06,Assessment Methods,Negative,assessment method history class standard,Topic_1,1
S79662,BIO572,Biology,I really enjoyed the Biology course. The Course Content was excellent.,5,2024-09-29,Course Content,Positive,really enjoyed biology course course content excellent,Topic_2,0
S18700,ECO419,Economics,The Teaching Quality in Economics met the basic requirements.,3,2024-07-10,Teaching Quality,Neutral,teaching quality economics met basic requirement,Topic_4,2
S76817,CHE504,Chemistry,The Course Content in Chemistry met the basic requirements.,3,2024-11-21,Course Content,Neutral,course content chemistry met basic requirement,Topic_4,2
S39044,HIS170,History,The instructor's Course Content approach in History was outstanding.,4,2025-01-17,Course Content,Positive,instructor course content approach history outstanding,Topic_5,2
S31480,PSY747,Psychology,The Facilities in the Psychology class exceeded my expectations.,5,2024-12-04,Facilities,Positive,facility psychology class exceeded expectation,Topic_1,1
S37081,MAT998,Mathematics,I found the Facilities in Mathematics to be very well organized and useful.,5,2024-07-02,Facilities,Positive,found facility mathematics well organized useful,Topic_3,3
S70370,BIO512,Biology,The instructor's Learning Resources approach in Biology was outstanding.,4,2025-01-11,Learning Resources,Positive,instructor learning resource approach biology outstanding,Topic_5,2
S30237,LIT697,Literature,Neither good nor bad Teaching Quality in the Literature course.,4,2024-06-25,Teaching Quality,Neutral,neither good bad teaching quality literature course,Topic_1,2
S29139,LIT886,Literature,I struggled with Literature due to inadequate Teaching Quality.,1,2024-04-21,Teaching Quality,Negative,struggled literature due inadequate teaching quality,Topic_3,2
S78588,MAT219,Mathematics,Neither good nor bad Course Content in the Mathematics course.,4,2025-01-21,Course Content,Neutral,neither good bad course content mathematics course,Topic_1,2
S89927,HIS476,History,I really enjoyed the History course. The Teaching Quality was excellent.,5,2024-09-18,Teaching Quality,Positive,really enjoyed history course teaching quality excellent,Topic_2,0
S66246,CHE581,Chemistry,The instructor's Facilities approach in Chemistry was outstanding.,5,2024-11-01,Facilities,Positive,instructor facility approach chemistry outstanding,Topic_5,2
S62456,COM786,Computer Science,"Great Teaching Quality in the Computer Science course, very helpful for my learning.",5,2024-11-06,Teaching Quality,Positive,great teaching quality computer science course helpful learning,Topic_2,4
S16350,PSY278,Psychology,I struggled with Psychology due to inadequate Assessment Methods.,1,2025-03-26,Assessment Methods,Negative,struggled psychology due inadequate assessment method,Topic_3,2
S67164,BIO445,Biology,I found the Assessment Methods in Biology to be very well organized and useful.,5,2024-06-18,Assessment Methods,Positive,found assessment method biology well organized useful,Topic_3,3
S32312,LIT624,Literature,"The Literature course had reasonable Course Content, but could be improved.",4,2025-03-21,Course Content,Neutral,literature course reasonable course content could improved,Topic_2,3
S29955,CHE444,Chemistry,The Facilities in the Chemistry class was below standard.,1,2024-09-20,Facilities,Negative,facility chemistry class standard,Topic_1,1
S82102,PSY736,Psychology,I found the Teaching Quality in Psychology to be very well organized and useful.,5,2024-11-24,Teaching Quality,Positive,found teaching quality psychology well organized useful,Topic_3,3
S95605,ECO466,Economics,I was disappointed with the Assessment Methods in the Economics course.,3,2024-08-08,Assessment Methods,Negative,disappointed assessment method economics course,Topic_1,2
S70622,HIS373,History,The Course Content in History needs significant improvement.,1,2025-01-26,Course Content,Negative,course content history need significant improvement,Topic_3,2
S22575,PHY998,Physics,I found the Facilities in Physics to be very well organized and useful.,5,2024-08-23,Facilities,Positive,found facility physic well organized useful,Topic_3,3
S82735,LIT942,Literature,The Teaching Quality in Literature needs significant improvement.,3,2025-02-18,Teaching Quality,Negative,teaching quality literature need significant improvement,Topic_3,2
S98785,PHY463,Physics,The Facilities in the Physics class exceeded my expectations.,4,2024-12-27,Facilities,Positive,facility physic class exceeded expectation,Topic_1,1
S99714,PHY305,Physics,"The Physics course had reasonable Learning Resources, but could be improved.",3,2024-08-07,Learning Resources,Neutral,physic course reasonable learning resource could improved,Topic_2,3
S25801,CHE498,Chemistry,"Great Support Services in the Chemistry course, very helpful for my learning.",5,2024-11-27,Support Services,Positive,great support service chemistry course helpful learning,Topic_2,4
S80220,PSY654,Psychology,I was disappointed with the Teaching Quality in the Psychology course.,2,2024-11-16,Teaching Quality,Negative,disappointed teaching quality psychology course,Topic_1,2
S67608,COM120,Computer Science,I really enjoyed the Computer Science course. The Course Content was excellent.,5,2024-07-24,Course Content,Positive,really enjoyed computer science course course content excellent,Topic_2,0
S19960,CHE726,Chemistry,Neither good nor bad Support Services in the Chemistry course.,4,2025-02-26,Support Services,Neutral,neither good bad support service chemistry course,Topic_1,2
S65529,PHY183,Physics,The instructor's Course Content approach in Physics was outstanding.,5,2024-10-09,Course Content,Positive,instructor course content approach physic outstanding,Topic_5,2
S13200,CHE863,Chemistry,The instructor's Assessment Methods approach in Chemistry was outstanding.,5,2025-01-06,Assessment Methods,Positive,instructor assessment method approach chemistry outstanding,Topic_5,2
S16489,MAT678,Mathematics,Neither good nor bad Support Services in the Mathematics course.,4,2025-02-19,Support Services,Neutral,neither good bad support service mathematics course,Topic_1,2
S91553,HIS592,History,I really enjoyed the History course. The Course Content was excellent.,4,2024-07-27,Course Content,Positive,really enjoyed history course course content excellent,Topic_2,0
S33231,MAT599,Mathematics,I really enjoyed the Mathematics course. The Support Services was excellent.,4,2024-08-16,Support Services,Positive,really enjoyed mathematics course support service excellent,Topic_2,0
S49603,ECO979,Economics,"Great Support Services in the Economics course, very helpful for my learning.",5,2024-08-23,Support Services,Positive,great support service economics course helpful learning,Topic_2,4
S26737,PSY821,Psychology,"Great Assessment Methods in the Psychology course, very helpful for my learning.",5,2024-11-27,Assessment Methods,Positive,great assessment method psychology course helpful learning,Topic_2,4
S29981,MAT168,Mathematics,I struggled with Mathematics due to inadequate Support Services.,1,2024-12-10,Support Services,Negative,struggled mathematics due inadequate support service,Topic_3,2
S86784,COM244,Computer Science,"Great Support Services in the Computer Science course, very helpful for my learning.",5,2024-12-30,Support Services,Positive,great support service computer science course helpful learning,Topic_2,4
S27908,ECO779,Economics,"I think the Assessment Methods in Economics was average, nothing special.",3,2024-12-19,Assessment Methods,Neutral,think assessment method economics average nothing special,Topic_5,2
S89061,HIS283,History,"Great Assessment Methods in the History course, very helpful for my learning.",5,2024-10-06,Assessment Methods,Positive,great assessment method history course helpful learning,Topic_2,4
S74291,PHY947,Physics,"The Physics course had reasonable Course Content, but could be improved.",4,2024-04-13,Course Content,Neutral,physic course reasonable course content could improved,Topic_2,3
S58630,PSY354,Psychology,The instructor's Support Services approach in Psychology was outstanding.,5,2025-01-20,Support Services,Positive,instructor support service approach psychology outstanding,Topic_5,2
S74970,ECO977,Economics,"Great Facilities in the Economics course, very helpful for my learning.",5,2024-09-13,Facilities,Positive,great facility economics course helpful learning,Topic_2,4
S73394,COM979,Computer Science,The instructor's Learning Resources approach in Computer Science was outstanding.,4,2025-03-18,Learning Resources,Positive,instructor learning resource approach computer science outstanding,Topic_5,2
S95324,LIT525,Literature,The Course Content in Literature met the basic requirements.,4,2025-02-02,Course Content,Neutral,course content literature met basic requirement,Topic_4,2
S50833,CHE253,Chemistry,I really enjoyed the Chemistry course. The Course Content was excellent.,5,2024-12-04,Course Content,Positive,really enjoyed chemistry course course content excellent,Topic_2,0
S77966,PSY386,Psychology,"Great Assessment Methods in the Psychology course, very helpful for my learning.",5,2024-07-24,Assessment Methods,Positive,great assessment method psychology course helpful learning,Topic_2,4
S36199,HIS920,History,The Assessment Methods in History needs significant improvement.,1,2024-04-30,Assessment Methods,Negative,assessment method history need significant improvement,Topic_3,2
S79489,ECO399,Economics,The instructor's Facilities approach in Economics was outstanding.,4,2025-03-03,Facilities,Positive,instructor facility approach economics outstanding,Topic_5,2
S18350,BIO840,Biology,"I think the Assessment Methods in Biology was average, nothing special.",3,2024-08-09,Assessment Methods,Neutral,think assessment method biology average nothing special,Topic_5,2
S88920,PHY333,Physics,I really enjoyed the Physics course. The Assessment Methods was excellent.,5,2024-07-15,Assessment Methods,Positive,really enjoyed physic course assessment method excellent,Topic_2,0
S13808,BIO682,Biology,The Learning Resources in the Biology class exceeded my expectations.,4,2024-06-06,Learning Resources,Positive,learning resource biology class exceeded expectation,Topic_1,1
S25470,HIS711,History,Poor Teaching Quality made the History course difficult to follow.,1,2024-04-17,Teaching Quality,Negative,poor teaching quality made history course difficult follow,Topic_4,2
S66495,LIT529,Literature,"The Literature course had reasonable Support Services, but could be improved.",4,2024-08-16,Support Services,Neutral,literature course reasonable support service could improved,Topic_2,3
S92040,PSY655,Psychology,I really enjoyed the Psychology course. The Assessment Methods was excellent.,4,2025-03-13,Assessment Methods,Positive,really enjoyed psychology course assessment method excellent,Topic_2,0
S46854,CHE859,Chemistry,"Great Facilities in the Chemistry course, very helpful for my learning.",4,2025-03-07,Facilities,Positive,great facility chemistry course helpful learning,Topic_2,4
S19744,MAT107,Mathematics,The instructor's Teaching Quality approach in Mathematics was outstanding.,5,2024-10-31,Teaching Quality,Positive,instructor teaching quality approach mathematics outstanding,Topic_5,2
S97914,PSY955,Psychology,I found the Facilities in Psychology to be very well organized and useful.,4,2024-09-28,Facilities,Positive,found facility psychology well organized useful,Topic_3,3
S36037,HIS838,History,I really enjoyed the History course. The Teaching Quality was excellent.,4,2024-06-21,Teaching Quality,Positive,really enjoyed history course teaching quality excellent,Topic_2,0
S44908,HIS910,History,"I think the Facilities in History was average, nothing special.",4,2024-09-05,Facilities,Neutral,think facility history average nothing special,Topic_5,2
S23970,BIO730,Biology,The Teaching Quality in the Biology class exceeded my expectations.,4,2024-10-01,Teaching Quality,Positive,teaching quality biology class exceeded expectation,Topic_1,1
S23142,BIO415,Biology,The Support Services in the Biology class exceeded my expectations.,4,2024-08-30,Support Services,Positive,support service biology class exceeded expectation,Topic_1,1
S11603,MAT351,Mathematics,The instructor's Course Content approach in Mathematics was outstanding.,4,2025-03-11,Course Content,Positive,instructor course content approach mathematics outstanding,Topic_5,2
S15909,LIT553,Literature,The instructor's Teaching Quality approach in Literature was outstanding.,5,2024-09-19,Teaching Quality,Positive,instructor teaching quality approach literature outstanding,Topic_5,2
S18058,CHE588,Chemistry,The Support Services in the Chemistry class was below standard.,2,2024-12-24,Support Services,Negative,support service chemistry class standard,Topic_1,1
S42150,LIT792,Literature,The instructor's Teaching Quality approach in Literature was outstanding.,5,2024-04-12,Teaching Quality,Positive,instructor teaching quality approach literature outstanding,Topic_5,2
S70828,COM474,Computer Science,"Great Support Services in the Computer Science course, very helpful for my learning.",4,2024-09-19,Support Services,Positive,great support service computer science course helpful learning,Topic_2,4
S46281,BIO728,Biology,"Great Support Services in the Biology course, very helpful for my learning.",4,2024-11-21,Support Services,Positive,great support service biology course helpful learning,Topic_2,4
S50485,BIO943,Biology,I found the Support Services in Biology to be very well organized and useful.,5,2025-03-05,Support Services,Positive,found support service biology well organized useful,Topic_3,3
S39985,CHE401,Chemistry,"Great Assessment Methods in the Chemistry course, very helpful for my learning.",4,2024-12-23,Assessment Methods,Positive,great assessment method chemistry course helpful learning,Topic_2,4
S42845,PSY796,Psychology,The Course Content in the Psychology class exceeded my expectations.,5,2024-09-13,Course Content,Positive,course content psychology class exceeded expectation,Topic_1,1
S24703,BIO379,Biology,"The Biology course had reasonable Teaching Quality, but could be improved.",3,2025-02-25,Teaching Quality,Neutral,biology course reasonable teaching quality could improved,Topic_2,3
S53672,CHE815,Chemistry,"I think the Learning Resources in Chemistry was average, nothing special.",4,2024-09-05,Learning Resources,Neutral,think learning resource chemistry average nothing special,Topic_5,2
S18244,LIT219,Literature,"The Literature course had reasonable Support Services, but could be improved.",4,2024-08-16,Support Services,Neutral,literature course reasonable support service could improved,Topic_2,3
S34002,BIO985,Biology,"The Biology course had reasonable Support Services, but could be improved.",4,2024-08-18,Support Services,Neutral,biology course reasonable support service could improved,Topic_2,3
S62077,ECO211,Economics,The Course Content in the Economics course was adequate.,4,2024-08-14,Course Content,Neutral,course content economics course adequate,Topic_1,2
S59584,HIS830,History,The Assessment Methods in History needs significant improvement.,1,2024-08-23,Assessment Methods,Negative,assessment method history need significant improvement,Topic_3,2
S54267,CHE616,Chemistry,I really enjoyed the Chemistry course. The Support Services was excellent.,4,2025-02-07,Support Services,Positive,really enjoyed chemistry course support service excellent,Topic_2,0
S34620,COM405,Computer Science,I really enjoyed the Computer Science course. The Learning Resources was excellent.,5,2025-01-13,Learning Resources,Positive,really enjoyed computer science course learning resource excellent,Topic_2,0
S89164,MAT525,Mathematics,The Course Content in Mathematics needs significant improvement.,2,2024-11-10,Course Content,Negative,course content mathematics need significant improvement,Topic_3,2
S34549,COM322,Computer Science,The Facilities in the Computer Science class exceeded my expectations.,5,2024-11-27,Facilities,Positive,facility computer science class exceeded expectation,Topic_1,1
S11978,COM669,Computer Science,The Support Services in the Computer Science class was below standard.,2,2024-05-04,Support Services,Negative,support service computer science class standard,Topic_1,1
S85801,PSY513,Psychology,I struggled with Psychology due to inadequate Facilities.,2,2024-08-14,Facilities,Negative,struggled psychology due inadequate facility,Topic_3,2
S18628,BIO869,Biology,I found the Assessment Methods in Biology to be very well organized and useful.,5,2025-03-17,Assessment Methods,Positive,found assessment method biology well organized useful,Topic_3,3
S18847,LIT992,Literature,"Great Learning Resources in the Literature course, very helpful for my learning.",4,2024-12-18,Learning Resources,Positive,great learning resource literature course helpful learning,Topic_2,4
S68487,CHE503,Chemistry,The Teaching Quality in the Chemistry class exceeded my expectations.,5,2024-06-22,Teaching Quality,Positive,teaching quality chemistry class exceeded expectation,Topic_1,1
S71752,COM989,Computer Science,Poor Support Services made the Computer Science course difficult to follow.,1,2024-08-01,Support Services,Negative,poor support service made computer science course difficult follow,Topic_4,2
S37745,COM413,Computer Science,"The Computer Science course had reasonable Teaching Quality, but could be improved.",3,2024-08-13,Teaching Quality,Neutral,computer science course reasonable teaching quality could improved,Topic_2,3
S26204,PHY312,Physics,"The Physics course had reasonable Course Content, but could be improved.",3,2024-09-01,Course Content,Neutral,physic course reasonable course content could improved,Topic_2,3
S71095,ECO830,Economics,"Great Teaching Quality in the Economics course, very helpful for my learning.",4,2024-10-06,Teaching Quality,Positive,great teaching quality economics course helpful learning,Topic_2,4
S89952,HIS381,History,I found the Teaching Quality in History to be very well organized and useful.,5,2024-05-08,Teaching Quality,Positive,found teaching quality history well organized useful,Topic_3,3
S42056,LIT915,Literature,"The Literature course had reasonable Learning Resources, but could be improved.",3,2025-02-05,Learning Resources,Neutral,literature course reasonable learning resource could improved,Topic_2,3
S78679,BIO880,Biology,I found the Learning Resources in Biology to be very well organized and useful.,5,2024-06-27,Learning Resources,Positive,found learning resource biology well organized useful,Topic_3,3
S82971,BIO612,Biology,The Learning Resources in the Biology course was adequate.,3,2024-05-14,Learning Resources,Neutral,learning resource biology course adequate,Topic_4,2
S71621,COM104,Computer Science,I found the Learning Resources in Computer Science to be very well organized and useful.,5,2024-12-20,Learning Resources,Positive,found learning resource computer science well organized useful,Topic_3,3
S15939,CHE151,Chemistry,"Great Facilities in the Chemistry course, very helpful for my learning.",5,2025-01-28,Facilities,Positive,great facility chemistry course helpful learning,Topic_2,4
S83796,COM564,Computer Science,The instructor's Learning Resources approach in Computer Science was outstanding.,5,2024-10-09,Learning Resources,Positive,instructor learning resource approach computer science outstanding,Topic_5,2
S94314,CHE129,Chemistry,"Great Support Services in the Chemistry course, very helpful for my learning.",4,2024-05-17,Support Services,Positive,great support service chemistry course helpful learning,Topic_2,4
S11265,BIO893,Biology,The Support Services in the Biology course was adequate.,4,2024-11-01,Support Services,Neutral,support service biology course adequate,Topic_1,2
S87725,PHY484,Physics,"Great Learning Resources in the Physics course, very helpful for my learning.",4,2024-05-05,Learning Resources,Positive,great learning resource physic course helpful learning,Topic_2,4
S36115,LIT181,Literature,"Great Facilities in the Literature course, very helpful for my learning.",5,2024-05-13,Facilities,Positive,great facility literature course helpful learning,Topic_2,4
S93259,MAT642,Mathematics,Neither good nor bad Support Services in the Mathematics course.,3,2024-12-21,Support Services,Neutral,neither good bad support service mathematics course,Topic_1,2
S28693,MAT101,Mathematics,The instructor's Support Services approach in Mathematics was outstanding.,5,2024-09-29,Support Services,Positive,instructor support service approach mathematics outstanding,Topic_5,2
S69124,HIS351,History,"Great Learning Resources in the History course, very helpful for my learning.",4,2025-03-07,Learning Resources,Positive,great learning resource history course helpful learning,Topic_2,4
