student_id,course_id,subject,feedback_text,rating,date,true_category,true_sentiment
S14504,PSY311,Psychology,The instructor's Learning Resources approach in Psychology was outstanding.,5,2024-12-15,Learning Resources,Positive
S69838,BIO323,Biology,I really enjoyed the Biology course. The Course Content was excellent.,5,2024-04-18,Course Content,Positive
S25587,HIS461,History,The Course Content in the History class exceeded my expectations.,4,2024-07-11,Course Content,Positive
S51593,BIO115,Biology,"Great Support Services in the Biology course, very helpful for my learning.",5,2025-01-25,Support Services,Positive
S84754,HIS438,History,The instructor's Teaching Quality approach in History was outstanding.,5,2024-11-30,Teaching Quality,Positive
S57326,PSY589,Psychology,The Learning Resources in the Psychology course was adequate.,3,2025-01-11,Learning Resources,Neutral
S86060,HIS798,History,"Great Support Services in the History course, very helpful for my learning.",4,2025-01-25,Support Services,Positive
S77168,HIS224,History,Neither good nor bad Assessment Methods in the History course.,3,2024-11-20,Assessment Methods,Neutral
S56285,PSY651,Psychology,The Facilities in the Psychology class exceeded my expectations.,4,2024-07-14,Facilities,Positive
S16842,PHY362,Physics,"I think the Facilities in Physics was average, nothing special.",3,2024-09-17,Facilities,Neutral
S92787,BIO604,Biology,"The Biology course had reasonable Support Services, but could be improved.",3,2024-11-10,Support Services,Neutral
S29088,COM888,Computer Science,"The Computer Science course had reasonable Facilities, but could be improved.",3,2024-12-15,Facilities,Neutral
S39902,PHY328,Physics,The instructor's Course Content approach in Physics was outstanding.,4,2025-04-06,Course Content,Positive
S30938,MAT771,Mathematics,The instructor's Facilities approach in Mathematics was outstanding.,4,2025-03-10,Facilities,Positive
S37886,ECO151,Economics,The Teaching Quality in the Economics class exceeded my expectations.,5,2024-10-31,Teaching Quality,Positive
S95587,COM751,Computer Science,I really enjoyed the Computer Science course. The Assessment Methods was excellent.,5,2024-07-19,Assessment Methods,Positive
S76718,PSY876,Psychology,"Great Course Content in the Psychology course, very helpful for my learning.",4,2024-11-30,Course Content,Positive
S93273,COM867,Computer Science,The instructor's Support Services approach in Computer Science was outstanding.,4,2024-12-26,Support Services,Positive
S78629,PHY957,Physics,I really enjoyed the Physics course. The Teaching Quality was excellent.,4,2024-10-24,Teaching Quality,Positive
S90556,COM754,Computer Science,"Great Learning Resources in the Computer Science course, very helpful for my learning.",4,2024-10-23,Learning Resources,Positive
S58760,BIO110,Biology,The instructor's Facilities approach in Biology was outstanding.,4,2024-08-10,Facilities,Positive
S36172,MAT574,Mathematics,I found the Course Content in Mathematics to be very well organized and useful.,5,2024-12-17,Course Content,Positive
S30034,MAT951,Mathematics,I really enjoyed the Mathematics course. The Course Content was excellent.,5,2025-03-28,Course Content,Positive
S99820,ECO877,Economics,The Learning Resources in the Economics course was adequate.,4,2025-01-27,Learning Resources,Neutral
S70814,BIO812,Biology,The Support Services in Biology needs significant improvement.,2,2025-04-05,Support Services,Negative
S62204,MAT196,Mathematics,"Great Assessment Methods in the Mathematics course, very helpful for my learning.",5,2024-11-03,Assessment Methods,Positive
S74919,HIS898,History,I found the Facilities in History to be very well organized and useful.,4,2024-10-03,Facilities,Positive
S88500,CHE695,Chemistry,"I think the Support Services in Chemistry was average, nothing special.",4,2024-05-03,Support Services,Neutral
S91899,LIT753,Literature,I really enjoyed the Literature course. The Learning Resources was excellent.,5,2025-01-08,Learning Resources,Positive
S46306,LIT119,Literature,I found the Facilities in Literature to be very well organized and useful.,5,2025-03-15,Facilities,Positive
S89899,HIS550,History,The Assessment Methods in the History class was below standard.,1,2025-02-06,Assessment Methods,Negative
S79662,BIO572,Biology,I really enjoyed the Biology course. The Course Content was excellent.,5,2024-09-29,Course Content,Positive
S18700,ECO419,Economics,The Teaching Quality in Economics met the basic requirements.,3,2024-07-10,Teaching Quality,Neutral
S76817,CHE504,Chemistry,The Course Content in Chemistry met the basic requirements.,3,2024-11-21,Course Content,Neutral
S39044,HIS170,History,The instructor's Course Content approach in History was outstanding.,4,2025-01-17,Course Content,Positive
S31480,PSY747,Psychology,The Facilities in the Psychology class exceeded my expectations.,5,2024-12-04,Facilities,Positive
S37081,MAT998,Mathematics,I found the Facilities in Mathematics to be very well organized and useful.,5,2024-07-02,Facilities,Positive
S70370,BIO512,Biology,The instructor's Learning Resources approach in Biology was outstanding.,4,2025-01-11,Learning Resources,Positive
S30237,LIT697,Literature,Neither good nor bad Teaching Quality in the Literature course.,4,2024-06-25,Teaching Quality,Neutral
S29139,LIT886,Literature,I struggled with Literature due to inadequate Teaching Quality.,1,2024-04-21,Teaching Quality,Negative
S78588,MAT219,Mathematics,Neither good nor bad Course Content in the Mathematics course.,4,2025-01-21,Course Content,Neutral
S89927,HIS476,History,I really enjoyed the History course. The Teaching Quality was excellent.,5,2024-09-18,Teaching Quality,Positive
S66246,CHE581,Chemistry,The instructor's Facilities approach in Chemistry was outstanding.,5,2024-11-01,Facilities,Positive
S62456,COM786,Computer Science,"Great Teaching Quality in the Computer Science course, very helpful for my learning.",5,2024-11-06,Teaching Quality,Positive
S16350,PSY278,Psychology,I struggled with Psychology due to inadequate Assessment Methods.,1,2025-03-26,Assessment Methods,Negative
S67164,BIO445,Biology,I found the Assessment Methods in Biology to be very well organized and useful.,5,2024-06-18,Assessment Methods,Positive
S32312,LIT624,Literature,"The Literature course had reasonable Course Content, but could be improved.",4,2025-03-21,Course Content,Neutral
S29955,CHE444,Chemistry,The Facilities in the Chemistry class was below standard.,1,2024-09-20,Facilities,Negative
S82102,PSY736,Psychology,I found the Teaching Quality in Psychology to be very well organized and useful.,5,2024-11-24,Teaching Quality,Positive
S95605,ECO466,Economics,I was disappointed with the Assessment Methods in the Economics course.,3,2024-08-08,Assessment Methods,Negative
S70622,HIS373,History,The Course Content in History needs significant improvement.,1,2025-01-26,Course Content,Negative
S22575,PHY998,Physics,I found the Facilities in Physics to be very well organized and useful.,5,2024-08-23,Facilities,Positive
S82735,LIT942,Literature,The Teaching Quality in Literature needs significant improvement.,3,2025-02-18,Teaching Quality,Negative
S98785,PHY463,Physics,The Facilities in the Physics class exceeded my expectations.,4,2024-12-27,Facilities,Positive
S99714,PHY305,Physics,"The Physics course had reasonable Learning Resources, but could be improved.",3,2024-08-07,Learning Resources,Neutral
S25801,CHE498,Chemistry,"Great Support Services in the Chemistry course, very helpful for my learning.",5,2024-11-27,Support Services,Positive
S80220,PSY654,Psychology,I was disappointed with the Teaching Quality in the Psychology course.,2,2024-11-16,Teaching Quality,Negative
S67608,COM120,Computer Science,I really enjoyed the Computer Science course. The Course Content was excellent.,5,2024-07-24,Course Content,Positive
S19960,CHE726,Chemistry,Neither good nor bad Support Services in the Chemistry course.,4,2025-02-26,Support Services,Neutral
S65529,PHY183,Physics,The instructor's Course Content approach in Physics was outstanding.,5,2024-10-09,Course Content,Positive
S13200,CHE863,Chemistry,The instructor's Assessment Methods approach in Chemistry was outstanding.,5,2025-01-06,Assessment Methods,Positive
S16489,MAT678,Mathematics,Neither good nor bad Support Services in the Mathematics course.,4,2025-02-19,Support Services,Neutral
S91553,HIS592,History,I really enjoyed the History course. The Course Content was excellent.,4,2024-07-27,Course Content,Positive
S33231,MAT599,Mathematics,I really enjoyed the Mathematics course. The Support Services was excellent.,4,2024-08-16,Support Services,Positive
S49603,ECO979,Economics,"Great Support Services in the Economics course, very helpful for my learning.",5,2024-08-23,Support Services,Positive
S26737,PSY821,Psychology,"Great Assessment Methods in the Psychology course, very helpful for my learning.",5,2024-11-27,Assessment Methods,Positive
S29981,MAT168,Mathematics,I struggled with Mathematics due to inadequate Support Services.,1,2024-12-10,Support Services,Negative
S86784,COM244,Computer Science,"Great Support Services in the Computer Science course, very helpful for my learning.",5,2024-12-30,Support Services,Positive
S27908,ECO779,Economics,"I think the Assessment Methods in Economics was average, nothing special.",3,2024-12-19,Assessment Methods,Neutral
S89061,HIS283,History,"Great Assessment Methods in the History course, very helpful for my learning.",5,2024-10-06,Assessment Methods,Positive
S74291,PHY947,Physics,"The Physics course had reasonable Course Content, but could be improved.",4,2024-04-13,Course Content,Neutral
S58630,PSY354,Psychology,The instructor's Support Services approach in Psychology was outstanding.,5,2025-01-20,Support Services,Positive
S74970,ECO977,Economics,"Great Facilities in the Economics course, very helpful for my learning.",5,2024-09-13,Facilities,Positive
S73394,COM979,Computer Science,The instructor's Learning Resources approach in Computer Science was outstanding.,4,2025-03-18,Learning Resources,Positive
S95324,LIT525,Literature,The Course Content in Literature met the basic requirements.,4,2025-02-02,Course Content,Neutral
S50833,CHE253,Chemistry,I really enjoyed the Chemistry course. The Course Content was excellent.,5,2024-12-04,Course Content,Positive
S77966,PSY386,Psychology,"Great Assessment Methods in the Psychology course, very helpful for my learning.",5,2024-07-24,Assessment Methods,Positive
S36199,HIS920,History,The Assessment Methods in History needs significant improvement.,1,2024-04-30,Assessment Methods,Negative
S79489,ECO399,Economics,The instructor's Facilities approach in Economics was outstanding.,4,2025-03-03,Facilities,Positive
S18350,BIO840,Biology,"I think the Assessment Methods in Biology was average, nothing special.",3,2024-08-09,Assessment Methods,Neutral
S88920,PHY333,Physics,I really enjoyed the Physics course. The Assessment Methods was excellent.,5,2024-07-15,Assessment Methods,Positive
S13808,BIO682,Biology,The Learning Resources in the Biology class exceeded my expectations.,4,2024-06-06,Learning Resources,Positive
S25470,HIS711,History,Poor Teaching Quality made the History course difficult to follow.,1,2024-04-17,Teaching Quality,Negative
S66495,LIT529,Literature,"The Literature course had reasonable Support Services, but could be improved.",4,2024-08-16,Support Services,Neutral
S92040,PSY655,Psychology,I really enjoyed the Psychology course. The Assessment Methods was excellent.,4,2025-03-13,Assessment Methods,Positive
S46854,CHE859,Chemistry,"Great Facilities in the Chemistry course, very helpful for my learning.",4,2025-03-07,Facilities,Positive
S19744,MAT107,Mathematics,The instructor's Teaching Quality approach in Mathematics was outstanding.,5,2024-10-31,Teaching Quality,Positive
S97914,PSY955,Psychology,I found the Facilities in Psychology to be very well organized and useful.,4,2024-09-28,Facilities,Positive
S36037,HIS838,History,I really enjoyed the History course. The Teaching Quality was excellent.,4,2024-06-21,Teaching Quality,Positive
S44908,HIS910,History,"I think the Facilities in History was average, nothing special.",4,2024-09-05,Facilities,Neutral
S23970,BIO730,Biology,The Teaching Quality in the Biology class exceeded my expectations.,4,2024-10-01,Teaching Quality,Positive
S23142,BIO415,Biology,The Support Services in the Biology class exceeded my expectations.,4,2024-08-30,Support Services,Positive
S11603,MAT351,Mathematics,The instructor's Course Content approach in Mathematics was outstanding.,4,2025-03-11,Course Content,Positive
S15909,LIT553,Literature,The instructor's Teaching Quality approach in Literature was outstanding.,5,2024-09-19,Teaching Quality,Positive
S18058,CHE588,Chemistry,The Support Services in the Chemistry class was below standard.,2,2024-12-24,Support Services,Negative
S42150,LIT792,Literature,The instructor's Teaching Quality approach in Literature was outstanding.,5,2024-04-12,Teaching Quality,Positive
S70828,COM474,Computer Science,"Great Support Services in the Computer Science course, very helpful for my learning.",4,2024-09-19,Support Services,Positive
S46281,BIO728,Biology,"Great Support Services in the Biology course, very helpful for my learning.",4,2024-11-21,Support Services,Positive
S50485,BIO943,Biology,I found the Support Services in Biology to be very well organized and useful.,5,2025-03-05,Support Services,Positive
S39985,CHE401,Chemistry,"Great Assessment Methods in the Chemistry course, very helpful for my learning.",4,2024-12-23,Assessment Methods,Positive
S42845,PSY796,Psychology,The Course Content in the Psychology class exceeded my expectations.,5,2024-09-13,Course Content,Positive
S24703,BIO379,Biology,"The Biology course had reasonable Teaching Quality, but could be improved.",3,2025-02-25,Teaching Quality,Neutral
S53672,CHE815,Chemistry,"I think the Learning Resources in Chemistry was average, nothing special.",4,2024-09-05,Learning Resources,Neutral
S18244,LIT219,Literature,"The Literature course had reasonable Support Services, but could be improved.",4,2024-08-16,Support Services,Neutral
S34002,BIO985,Biology,"The Biology course had reasonable Support Services, but could be improved.",4,2024-08-18,Support Services,Neutral
S62077,ECO211,Economics,The Course Content in the Economics course was adequate.,4,2024-08-14,Course Content,Neutral
S59584,HIS830,History,The Assessment Methods in History needs significant improvement.,1,2024-08-23,Assessment Methods,Negative
S54267,CHE616,Chemistry,I really enjoyed the Chemistry course. The Support Services was excellent.,4,2025-02-07,Support Services,Positive
S34620,COM405,Computer Science,I really enjoyed the Computer Science course. The Learning Resources was excellent.,5,2025-01-13,Learning Resources,Positive
S89164,MAT525,Mathematics,The Course Content in Mathematics needs significant improvement.,2,2024-11-10,Course Content,Negative
S34549,COM322,Computer Science,The Facilities in the Computer Science class exceeded my expectations.,5,2024-11-27,Facilities,Positive
S11978,COM669,Computer Science,The Support Services in the Computer Science class was below standard.,2,2024-05-04,Support Services,Negative
S85801,PSY513,Psychology,I struggled with Psychology due to inadequate Facilities.,2,2024-08-14,Facilities,Negative
S18628,BIO869,Biology,I found the Assessment Methods in Biology to be very well organized and useful.,5,2025-03-17,Assessment Methods,Positive
S18847,LIT992,Literature,"Great Learning Resources in the Literature course, very helpful for my learning.",4,2024-12-18,Learning Resources,Positive
S68487,CHE503,Chemistry,The Teaching Quality in the Chemistry class exceeded my expectations.,5,2024-06-22,Teaching Quality,Positive
S71752,COM989,Computer Science,Poor Support Services made the Computer Science course difficult to follow.,1,2024-08-01,Support Services,Negative
S37745,COM413,Computer Science,"The Computer Science course had reasonable Teaching Quality, but could be improved.",3,2024-08-13,Teaching Quality,Neutral
S26204,PHY312,Physics,"The Physics course had reasonable Course Content, but could be improved.",3,2024-09-01,Course Content,Neutral
S71095,ECO830,Economics,"Great Teaching Quality in the Economics course, very helpful for my learning.",4,2024-10-06,Teaching Quality,Positive
S89952,HIS381,History,I found the Teaching Quality in History to be very well organized and useful.,5,2024-05-08,Teaching Quality,Positive
S42056,LIT915,Literature,"The Literature course had reasonable Learning Resources, but could be improved.",3,2025-02-05,Learning Resources,Neutral
S78679,BIO880,Biology,I found the Learning Resources in Biology to be very well organized and useful.,5,2024-06-27,Learning Resources,Positive
S82971,BIO612,Biology,The Learning Resources in the Biology course was adequate.,3,2024-05-14,Learning Resources,Neutral
S71621,COM104,Computer Science,I found the Learning Resources in Computer Science to be very well organized and useful.,5,2024-12-20,Learning Resources,Positive
S15939,CHE151,Chemistry,"Great Facilities in the Chemistry course, very helpful for my learning.",5,2025-01-28,Facilities,Positive
S83796,COM564,Computer Science,The instructor's Learning Resources approach in Computer Science was outstanding.,5,2024-10-09,Learning Resources,Positive
S94314,CHE129,Chemistry,"Great Support Services in the Chemistry course, very helpful for my learning.",4,2024-05-17,Support Services,Positive
S11265,BIO893,Biology,The Support Services in the Biology course was adequate.,4,2024-11-01,Support Services,Neutral
S87725,PHY484,Physics,"Great Learning Resources in the Physics course, very helpful for my learning.",4,2024-05-05,Learning Resources,Positive
S36115,LIT181,Literature,"Great Facilities in the Literature course, very helpful for my learning.",5,2024-05-13,Facilities,Positive
S93259,MAT642,Mathematics,Neither good nor bad Support Services in the Mathematics course.,3,2024-12-21,Support Services,Neutral
S28693,MAT101,Mathematics,The instructor's Support Services approach in Mathematics was outstanding.,5,2024-09-29,Support Services,Positive
S69124,HIS351,History,"Great Learning Resources in the History course, very helpful for my learning.",4,2025-03-07,Learning Resources,Positive
S99333,LIT773,Literature,I found the Facilities in Literature to be very well organized and useful.,4,2024-04-14,Facilities,Positive
S66418,PHY691,Physics,"The Physics course had reasonable Learning Resources, but could be improved.",3,2024-08-21,Learning Resources,Neutral
S31149,LIT566,Literature,"The Literature course had reasonable Assessment Methods, but could be improved.",4,2025-03-21,Assessment Methods,Neutral
S14353,LIT886,Literature,"I think the Course Content in Literature was average, nothing special.",3,2024-07-11,Course Content,Neutral
S16242,CHE842,Chemistry,"I think the Support Services in Chemistry was average, nothing special.",3,2024-12-10,Support Services,Neutral
S98397,MAT304,Mathematics,The Support Services in Mathematics met the basic requirements.,4,2024-07-22,Support Services,Neutral
S76910,ECO689,Economics,Neither good nor bad Support Services in the Economics course.,3,2024-08-11,Support Services,Neutral
S38093,PHY636,Physics,The Assessment Methods in Physics met the basic requirements.,3,2024-10-08,Assessment Methods,Neutral
S37948,BIO807,Biology,I struggled with Biology due to inadequate Learning Resources.,1,2024-08-16,Learning Resources,Negative
S51813,HIS285,History,The instructor's Learning Resources approach in History was outstanding.,4,2025-02-14,Learning Resources,Positive
S42547,COM141,Computer Science,"Great Learning Resources in the Computer Science course, very helpful for my learning.",4,2024-09-29,Learning Resources,Positive
S70702,PHY222,Physics,I really enjoyed the Physics course. The Support Services was excellent.,5,2024-10-05,Support Services,Positive
S73700,PSY306,Psychology,The Support Services in the Psychology class was below standard.,3,2024-06-30,Support Services,Negative
S35096,MAT760,Mathematics,The Facilities in Mathematics met the basic requirements.,4,2024-08-28,Facilities,Neutral
S75008,ECO440,Economics,I really enjoyed the Economics course. The Support Services was excellent.,5,2024-06-03,Support Services,Positive
S27325,BIO835,Biology,Poor Teaching Quality made the Biology course difficult to follow.,3,2024-09-03,Teaching Quality,Negative
S83964,PHY121,Physics,I really enjoyed the Physics course. The Facilities was excellent.,4,2024-06-15,Facilities,Positive
S84133,PHY375,Physics,"Great Facilities in the Physics course, very helpful for my learning.",4,2024-05-23,Facilities,Positive
S12337,PHY559,Physics,I found the Learning Resources in Physics to be very well organized and useful.,5,2025-01-09,Learning Resources,Positive
S76039,BIO772,Biology,I found the Facilities in Biology to be very well organized and useful.,4,2024-10-02,Facilities,Positive
S38679,CHE232,Chemistry,Neither good nor bad Teaching Quality in the Chemistry course.,3,2024-09-09,Teaching Quality,Neutral
S15632,HIS721,History,"Great Assessment Methods in the History course, very helpful for my learning.",4,2024-10-28,Assessment Methods,Positive
S46308,MAT926,Mathematics,I found the Teaching Quality in Mathematics to be very well organized and useful.,4,2025-02-24,Teaching Quality,Positive
S42779,LIT831,Literature,I found the Learning Resources in Literature to be very well organized and useful.,4,2024-12-11,Learning Resources,Positive
S23207,CHE448,Chemistry,I found the Support Services in Chemistry to be very well organized and useful.,4,2024-04-13,Support Services,Positive
S99471,LIT885,Literature,"I think the Learning Resources in Literature was average, nothing special.",3,2025-02-05,Learning Resources,Neutral
S95373,PHY389,Physics,The Facilities in the Physics course was adequate.,3,2025-01-22,Facilities,Neutral
S77615,PSY188,Psychology,The Facilities in Psychology met the basic requirements.,4,2025-02-11,Facilities,Neutral
S51400,LIT601,Literature,I struggled with Literature due to inadequate Assessment Methods.,1,2024-12-02,Assessment Methods,Negative
S44979,BIO632,Biology,I really enjoyed the Biology course. The Course Content was excellent.,5,2024-08-01,Course Content,Positive
S77649,BIO176,Biology,The Learning Resources in the Biology class exceeded my expectations.,4,2024-09-30,Learning Resources,Positive
S99136,LIT212,Literature,I struggled with Literature due to inadequate Course Content.,1,2025-01-24,Course Content,Negative
S26298,CHE815,Chemistry,The Support Services in the Chemistry class exceeded my expectations.,5,2024-05-11,Support Services,Positive
S37826,COM151,Computer Science,The instructor's Support Services approach in Computer Science was outstanding.,5,2024-10-29,Support Services,Positive
S64813,CHE421,Chemistry,I was disappointed with the Support Services in the Chemistry course.,2,2024-09-02,Support Services,Negative
S91633,CHE479,Chemistry,The Course Content in the Chemistry class exceeded my expectations.,5,2024-07-27,Course Content,Positive
S27014,CHE115,Chemistry,"The Chemistry course had reasonable Assessment Methods, but could be improved.",3,2024-11-17,Assessment Methods,Neutral
S30657,PSY131,Psychology,The Support Services in Psychology needs significant improvement.,1,2025-02-23,Support Services,Negative
S83176,CHE159,Chemistry,"Great Facilities in the Chemistry course, very helpful for my learning.",5,2024-05-30,Facilities,Positive
S75953,HIS665,History,The Learning Resources in the History class exceeded my expectations.,4,2024-04-22,Learning Resources,Positive
S76352,PHY548,Physics,I really enjoyed the Physics course. The Facilities was excellent.,5,2024-05-05,Facilities,Positive
S14810,PSY379,Psychology,I found the Assessment Methods in Psychology to be very well organized and useful.,4,2024-05-18,Assessment Methods,Positive
S29443,HIS668,History,"The History course had reasonable Support Services, but could be improved.",3,2025-01-26,Support Services,Neutral
S76680,PSY236,Psychology,The Support Services in the Psychology class exceeded my expectations.,4,2024-09-16,Support Services,Positive
S11101,LIT793,Literature,I found the Course Content in Literature to be very well organized and useful.,5,2025-01-10,Course Content,Positive
S57578,MAT373,Mathematics,The Assessment Methods in the Mathematics class was below standard.,3,2024-10-06,Assessment Methods,Negative
S69492,PHY189,Physics,"The Physics course had reasonable Facilities, but could be improved.",3,2024-10-14,Facilities,Neutral
S26265,CHE666,Chemistry,"Great Facilities in the Chemistry course, very helpful for my learning.",5,2025-04-05,Facilities,Positive
S69381,PSY919,Psychology,The instructor's Facilities approach in Psychology was outstanding.,4,2025-03-10,Facilities,Positive
S90489,ECO740,Economics,I was disappointed with the Course Content in the Economics course.,2,2024-07-30,Course Content,Negative
S37627,BIO377,Biology,The Teaching Quality in the Biology class exceeded my expectations.,5,2025-03-28,Teaching Quality,Positive
S72479,MAT117,Mathematics,"Great Teaching Quality in the Mathematics course, very helpful for my learning.",4,2024-09-06,Teaching Quality,Positive
S79420,ECO327,Economics,I found the Assessment Methods in Economics to be very well organized and useful.,5,2024-12-30,Assessment Methods,Positive
S36587,ECO851,Economics,The Assessment Methods in the Economics course was adequate.,3,2025-01-31,Assessment Methods,Neutral
S84872,BIO157,Biology,"Great Teaching Quality in the Biology course, very helpful for my learning.",4,2025-01-04,Teaching Quality,Positive
S17973,LIT596,Literature,The Learning Resources in the Literature course was adequate.,3,2024-10-14,Learning Resources,Neutral
S36169,HIS969,History,The Facilities in the History class exceeded my expectations.,5,2024-07-14,Facilities,Positive
S42341,MAT227,Mathematics,The instructor's Support Services approach in Mathematics was outstanding.,4,2024-08-26,Support Services,Positive
S19673,HIS162,History,"Great Learning Resources in the History course, very helpful for my learning.",5,2024-09-08,Learning Resources,Positive
S33532,PHY949,Physics,I found the Assessment Methods in Physics to be very well organized and useful.,4,2025-01-12,Assessment Methods,Positive
S36292,BIO386,Biology,"The Biology course had reasonable Course Content, but could be improved.",3,2025-01-13,Course Content,Neutral
S36295,COM706,Computer Science,The Course Content in Computer Science met the basic requirements.,4,2024-06-20,Course Content,Neutral
S30437,LIT356,Literature,Neither good nor bad Facilities in the Literature course.,4,2024-05-12,Facilities,Neutral
S60328,PHY573,Physics,I really enjoyed the Physics course. The Learning Resources was excellent.,5,2024-08-30,Learning Resources,Positive
S64969,PHY609,Physics,Neither good nor bad Facilities in the Physics course.,3,2025-04-05,Facilities,Neutral
S18345,PHY538,Physics,"Great Assessment Methods in the Physics course, very helpful for my learning.",4,2024-07-26,Assessment Methods,Positive
S58113,CHE562,Chemistry,The instructor's Course Content approach in Chemistry was outstanding.,5,2025-01-03,Course Content,Positive
S54917,BIO299,Biology,"Great Support Services in the Biology course, very helpful for my learning.",4,2024-05-05,Support Services,Positive
S79160,MAT362,Mathematics,Neither good nor bad Support Services in the Mathematics course.,4,2024-05-06,Support Services,Neutral
S57673,PSY423,Psychology,The instructor's Course Content approach in Psychology was outstanding.,4,2025-03-19,Course Content,Positive
S96481,PHY178,Physics,I was disappointed with the Support Services in the Physics course.,2,2024-10-05,Support Services,Negative
